sar	conservacione	conjunccione	commendacione	cognicione	constellacione
	0.0220758779141	0.0225096447508	0.0252254422406	0.0268137764937	0.029086005226
sheedy	spera	spere	convexitas	concavitate	aeris
	0.0833456560769	0.0905762343645	0.10688746185	0.110050785604	0.114719178996
okol	de	eleccione	p.	capitulum	regimine
	0.0520068044161	0.0583498084953	0.0695768265708	0.0713505610071	0.0726823531579
chcthy	eleccione	regimine	benediccione	de	capitulo
	0.0348518065214	0.0529424890578	0.0532053595815	0.0532553917486	0.0532935283549
qotaiin	eleccione	cognicione	capitulo	regimine	ordinacione
	0.026581006106	0.0401083141927	0.0416497991085	0.0432640565479	0.0437759728547
sol	eleccione	de	benediccione	ordinacione	medicinarum
	0.0465360344464	0.0495208754038	0.052786488488	0.0609994923974	0.062265797725
raiin	capitulum	Capitulum	p.	(	capitula
	0.0439963402557	0.0448979582099	0.0486534800481	0.061687431387	0.0617179305186
qoteedy	spera	spere	convexitas	concavitate	aeris
	0.0759562399532	0.0831262540246	0.0994127667977	0.103014964797	0.108169549036
air	eleccione	cognicione	ordinacione	disposicione	intencione
	0.017949067835	0.0322659341065	0.0341481750445	0.0373928397194	0.0391617713486
dor	de	eleccione	capitulum	p.	capitulo
	0.053565024691	0.0708429675467	0.0766931744184	0.07733762471	0.0808798936005
o	eleccione	benediccione	ordinacione	cognicione	discrecione
	0.0313724946912	0.0391034099077	0.0408552270554	0.0422281208602	0.0431825080817
char	eleccione	cognicione	ordinacione	regimine	intencione
	0.0243112274782	0.0430596841859	0.0432266154783	0.0438290001992	0.0457668537534
qokchy	benediccione	eleccione	ordinacione	cognicione	discrecione
	0.0349969349194	0.0412456490989	0.0472022942023	0.0481705515459	0.0487892002868
sain	consiliariis	constellacione	variis	conservacione	conjunccione
	0.0243804351849	0.0248673566144	0.025411970103	0.0266131353771	0.0276595057004
cho	de	Capitulum	capitulum	p.	capitula
	0.149852482821	0.151979817987	0.168436985225	0.17313561536	0.181293067007
okeol	eleccione	librum	medicinarum	benediccione	primum
	0.0539883768254	0.0574915987167	0.0577134859154	0.0594899792812	0.0605249138045
cheky	commendacione	ordinacione	cognicione	discrecione	alteracione
	0.0204807153918	0.0240623806013	0.0245203139433	0.0251300193583	0.0252196554543
cheo	ordinacione	divisione	discrecione	alteracione	benediccione
	0.0257852202588	0.0273596481089	0.027518331478	0.0318460700074	0.0323265661976
kaiin	Capitulum	capitulum	p.	(	capitula
	0.0427633298328	0.0504744754414	0.0571975024307	0.0694901993143	0.0714909919681
qotain	contrariis	annis	finis	celestis	granis
	0.0233435878285	0.0240508101828	0.0265263911211	0.0283810961955	0.0292341354699
okey	pertinent	pulcritudine	adhuc	longitudine	phisonomia
	0.0171771730794	0.017766606244	0.019278259361	0.0199056080251	0.0204763820599
qotchy	de	eleccione	p.	capitulo	capitula
	0.0305420846341	0.0635787080506	0.0691786874374	0.0713139896642	0.0730861518182
qotar	dignitas	granis	Jovis	Lune	annis
	0.0280859165368	0.0287198743398	0.0301165121461	0.0304730398969	0.030540407263
odaiin	Capitulum	capitulum	p.	capitula	de
	0.0565188290398	0.0694045815536	0.075157721473	0.0880047351579	0.0880529303376
cthol	de	Capitulum	capitulum	p.	eleccione
	0.0748119044148	0.0993529522787	0.105408657856	0.106198771129	0.112345902187
shckhy	eleccione	benediccione	ordinacione	cognicione	discrecione
	0.0285688557976	0.0324720187788	0.0357236167708	0.0373982075248	0.038947862551
cheedy	spera	spere	convexitas	aeris	concavitate
	0.078077217653	0.0886426603188	0.102269872665	0.10470351351	0.107956955533
qotal	granis	celestis	finis	dignitas	annis
	0.0250563719559	0.0269845659305	0.0294939279683	0.0296702573835	0.029819919118
ykeey	pulcritudine	adhuc	pertinent	longitudine	plene
	0.0171150475312	0.0188411774045	0.0193821422784	0.0200283235659	0.0213676530912
sor	de	eleccione	p.	capitulum	benediccione
	0.0518674284083	0.0532987454315	0.0677948333305	0.069296550103	0.0696041800933
oly	conservacione	commendacione	conjunccione	cognicione	discrecione
	0.0238865607813	0.0251520214388	0.0266718697617	0.0287940312243	0.0293778935443
qokchdy	Veneris	Jovis	ignis	Solis	aeris
	0.0235582484588	0.025638695875	0.0278669883862	0.0296572127605	0.0315553038742
otey	commendacione	alteracione	conjunccione	conservacione	constellacione
	0.0254924466381	0.0263014315816	0.0265182154067	0.0267270273251	0.0274718092959
sal	commendacione	conservacione	cognicione	conjunccione	ordinacione
	0.0221927836822	0.0230643889317	0.0247331854995	0.0270040709178	0.0279825837954
shody	benediccione	12	conjunccione	conservacione	fine
